Property_ID,Date,Price_USD,Airbnb_Property_ID,ADR_USD,Airbnb_Accuracy_Rating,Airbnb_Checkin_Rating,Airbnb_Cleanliness_Rating,Airbnb_Communication_Rating,Airbnb_HOST_ID,Airbnb_Location_Rating,Airbnb_Superhost,Airbnb_Value_Rating,Amenities,Bathrooms,Bedrooms,City,Cleaning_Fee_USD,Count_Available_Days_LTM,Count_Reservation_Days_LTM,Country,Created_Date,Currency_USD,Extra_People_Fee,Has_Air_Con,Has_Gym,Has_Hot_Tub,Has_Kitchen,Has_Parking,Has_Pool,Host_Type,Last_Calendar_Update,Latitude,Longitude,Listing_Type,Location_Type,Max_Guests,Metropolitan_Statistical_Area,Minimum_Stay,Neighborhood,Number_of_Photos,Number_of_Reviews,Occupancy_Rate,Overall_Rating,Pets_Allowed,Price_Tier,Published_Monthly_Rate_USD,Published_Nightly_Rate_USD,Published_Weekly_Rate_USD,Response_Rate,Response_Time,Revenue_USD,Revenue_Potential_USD,Security_Deposit_USD,Zipcode
abnb_10310043,2016/1/1,430,10310043,,10,10,10,10,25913346,9,,9,"[""ac"",""cable"",""dryer"",""essentials"",""fireplace"",""heating"",""iron"",""tv"",""washer"",""wireless_internet"",""free_parking"",""jacuzzi"",""kitchen"",""hair-dryer"",""hangers"",""fire_extinguisher"",""smoke_detector""]",3.5,3,Naperville,150,,,United States,2016/1/1,usd,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1 Unit,04:27.1,41.79509,-88.17276,Entire home/apt,Large City - Suburban,8,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",120,,23,7,0.933333,97,FALSE,luxury,8872,580,2709,100,5054,5978,6028,250,60563
abnb_10310043,2016/2/1,430,10310043,,10,10,10,10,25913346,9,,9,"[""ac"",""cable"",""dryer"",""essentials"",""fireplace"",""heating"",""iron"",""tv"",""washer"",""wireless_internet"",""free_parking"",""jacuzzi"",""kitchen"",""hair-dryer"",""hangers"",""fire_extinguisher"",""smoke_detector""]",3.5,3,Naperville,150,,,United States,2016/1/1,usd,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1 Unit,04:27.1,41.79509,-88.17276,Entire home/apt,Large City - Suburban,8,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",120,,23,7,0.310345,97,FALSE,luxury,8872,580,2709,100,5054,4042,4142,250,60563
abnb_10310043,2016/3/1,402.9032,10310043,,10,10,10,10,25913346,9,,9,"[""ac"",""cable"",""dryer"",""essentials"",""fireplace"",""heating"",""iron"",""tv"",""washer"",""wireless_internet"",""free_parking"",""jacuzzi"",""kitchen"",""hair-dryer"",""hangers"",""fire_extinguisher"",""smoke_detector""]",3.5,3,Naperville,150,,,United States,2016/1/1,usd,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1 Unit,04:27.1,41.79509,-88.17276,Entire home/apt,Large City - Suburban,8,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",120,,23,7,0.2,97,FALSE,luxury,8872,580,2709,100,5054,2646,2897.88,250,60563
abnb_10310043,2016/4/1,322,10310043,,10,10,10,10,25913346,9,,9,"[""ac"",""cable"",""dryer"",""essentials"",""fireplace"",""heating"",""iron"",""tv"",""washer"",""wireless_internet"",""free_parking"",""jacuzzi"",""kitchen"",""hair-dryer"",""hangers"",""fire_extinguisher"",""smoke_detector""]",3.5,3,Naperville,150,,,United States,2016/1/1,usd,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1 Unit,04:27.1,41.79509,-88.17276,Entire home/apt,Large City - Suburban,8,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",120,,23,7,0.130435,97,FALSE,luxury,8872,580,2709,100,5054,966,1720.47,250,60563
abnb_10310043,2016/5/1,295,10310043,,10,10,10,10,25913346,9,,9,"[""ac"",""cable"",""dryer"",""essentials"",""fireplace"",""heating"",""iron"",""tv"",""washer"",""wireless_internet"",""free_parking"",""jacuzzi"",""kitchen"",""hair-dryer"",""hangers"",""fire_extinguisher"",""smoke_detector""]",3.5,3,Naperville,150,,,United States,2016/1/1,usd,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1 Unit,04:27.1,41.79509,-88.17276,Entire home/apt,Large City - Suburban,8,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",120,,23,7,0.363636,97,FALSE,luxury,8872,580,2709,100,5054,2615,3931.38,250,60563
abnb_10310043,2016/6/1,295,10310043,,10,10,10,10,25913346,9,,9,"[""ac"",""cable"",""dryer"",""essentials"",""fireplace"",""heating"",""iron"",""tv"",""washer"",""wireless_internet"",""free_parking"",""jacuzzi"",""kitchen"",""hair-dryer"",""hangers"",""fire_extinguisher"",""smoke_detector""]",3.5,3,Naperville,150,,,United States,2016/1/1,usd,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1 Unit,04:27.1,41.79509,-88.17276,Entire home/apt,Large City - Suburban,8,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",120,,23,7,0.866667,97,FALSE,luxury,8872,580,2709,100,5054,8162,8412,250,60563
abnb_10310043,2016/7/1,430,10310043,,10,10,10,10,25913346,9,,9,"[""ac"",""cable"",""dryer"",""essentials"",""fireplace"",""heating"",""iron"",""tv"",""washer"",""wireless_internet"",""free_parking"",""jacuzzi"",""kitchen"",""hair-dryer"",""hangers"",""fire_extinguisher"",""smoke_detector""]",3.5,3,Naperville,150,,,United States,2016/1/1,usd,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1 Unit,04:27.1,41.79509,-88.17276,Entire home/apt,Large City - Suburban,8,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",120,,23,7,0.5,97,FALSE,luxury,8872,580,2709,100,5054,1398,11270.1,250,60563
abnb_10310043,2016/8/1,240.3226,10310043,,10,10,10,10,25913346,9,,9,"[""ac"",""cable"",""dryer"",""essentials"",""fireplace"",""heating"",""iron"",""tv"",""washer"",""wireless_internet"",""free_parking"",""jacuzzi"",""kitchen"",""hair-dryer"",""hangers"",""fire_extinguisher"",""smoke_detector""]",3.5,3,Naperville,150,,,United States,2016/1/1,usd,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1 Unit,04:27.1,41.79509,-88.17276,Entire home/apt,Large City - Suburban,8,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",120,,23,7,0.333333,97,FALSE,luxury,8872,580,2709,100,5054,980,16010.59,250,60563
abnb_10310043,2016/9/1,150,10310043,,10,10,10,10,25913346,9,,9,"[""ac"",""cable"",""dryer"",""essentials"",""fireplace"",""heating"",""iron"",""tv"",""washer"",""wireless_internet"",""free_parking"",""jacuzzi"",""kitchen"",""hair-dryer"",""hangers"",""fire_extinguisher"",""smoke_detector""]",3.5,3,Naperville,150,,,United States,2016/1/1,usd,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1 Unit,04:27.1,41.79509,-88.17276,Entire home/apt,Large City - Suburban,8,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",120,,23,7,0,97,FALSE,luxury,8872,580,2709,100,5054,0,0,250,60563
abnb_10310043,2016/10/1,150,10310043,,10,10,10,10,25913346,9,,9,"[""ac"",""cable"",""dryer"",""essentials"",""fireplace"",""heating"",""iron"",""tv"",""washer"",""wireless_internet"",""free_parking"",""jacuzzi"",""kitchen"",""hair-dryer"",""hangers"",""fire_extinguisher"",""smoke_detector""]",3.5,3,Naperville,150,,,United States,2016/1/1,usd,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1 Unit,04:27.1,41.79509,-88.17276,Entire home/apt,Large City - Suburban,8,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",120,,23,7,0,97,FALSE,luxury,8872,580,2709,100,5054,0,0,250,60563
abnb_10310043,2016/11/1,246.6667,10310043,,10,10,10,10,25913346,9,,9,"[""ac"",""cable"",""dryer"",""essentials"",""fireplace"",""heating"",""iron"",""tv"",""washer"",""wireless_internet"",""free_parking"",""jacuzzi"",""kitchen"",""hair-dryer"",""hangers"",""fire_extinguisher"",""smoke_detector""]",3.5,3,Naperville,150,,,United States,2016/1/1,usd,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1 Unit,04:27.1,41.79509,-88.17276,Entire home/apt,Large City - Suburban,8,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",120,,23,7,0.666667,97,FALSE,luxury,8872,580,2709,100,5054,3010,4471.73,250,60563
abnb_10310043,2016/12/1,364.6774,10310043,,10,10,10,10,25913346,9,,9,"[""ac"",""cable"",""dryer"",""essentials"",""fireplace"",""heating"",""iron"",""tv"",""washer"",""wireless_internet"",""free_parking"",""jacuzzi"",""kitchen"",""hair-dryer"",""hangers"",""fire_extinguisher"",""smoke_detector""]",3.5,3,Naperville,150,,,United States,2016/1/1,usd,0,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1 Unit,04:27.1,41.79509,-88.17276,Entire home/apt,Large City - Suburban,8,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",120,,23,7,0.322581,97,FALSE,luxury,8872,580,2709,100,5054,4386,4386,250,60563
